BIN,KWH/M2
1001278,179.8116723
1001279,141.9565834
1001280,179.8116723
1001281,217.6667612
1001282,324.1341987
1001283,305.2066542
1001284,141.9565834
1001285,239.9058361
1001286,200
1001287,200
1001288,217.6667612
1001289,179.8116723
1001290,217.6667612
1001291,200
1001292,217.6667612
1001318,391.1692519
1001319,324.1341987
1001320,324.1341987
1001322,253.155907
1001323,217.6667612
1001324,305.2066542
1001325,305.2066542
1001326,305.2066542
1001327,305.2066542
1001328,305.2066542
1001329,305.2066542
1001330,305.2066542
1001331,305.2066542
1001334,199.6848042
1001336,253.155907
1001337,253.155907
1001338,199.6848042
1001340,200
1001341,199.6848042
1001342,199.6848042
1001343,324.1341987
1001344,200
1001345,217.6667612
1001346,141.9565834
1001347,200
1001348,217.6667612
1001349,199.6848042
1001352,570.9809242
1001354,217.6667612
1001355,217.6667612
1001356,246.0580778
1001357,246.0580778
1001358,200
1001359,217.6667612
1001360,239.9058361
1001361,199.6848042
1001362,217.6667612
1001363,246.0580778
1001364,217.6667612
1001365,217.6667612
1001375,141.9565834
1001376,199.6848042
1001378,203.4711028
1001379,200
1001380,217.6667612
1001381,253.155907
1001382,239.9058361
1001383,141.9565834
1001384,217.6667612
1001385,217.6667612
1001386,199.6848042
1065089,217.6667612
1065199,217.6667612
1065321,217.6667612
1065475,217.6667612
1066031,179.8116723
1075618,179.8116723
1075698,217.6667612
1075700,200
1075701,217.6667612
1075702,514.1982908
1077219,199.6848042
1077220,324.1341987
1077335,200
1077339,200
1077403,253.155907
1077806,217.6667612
1078964,324.1341987
1078965,200
1078966,324.1341987
1078967,253.155907
1078968,514.1982908
1078969,514.1982908
1078977,200
1078978,199.6848042
1078979,179.8116723
1078980,246.0580778
1078981,179.8116723
1078982,179.8116723
1078984,200
1078985,217.6667612
1078986,217.6667612
1078988,217.6667612
1078990,199.6848042
1078991,217.6667612
1078992,217.6667612
1078995,179.8116723
1078997,217.6667612
1078998,217.6667612
1078999,217.6667612
1079001,199.6848042
1079002,199.6848042
1079030,324.1341987
1079032,514.1982908
1079033,514.1982908
1079037,179.8116723
1079038,179.8116723
1079039,179.8116723
1079040,179.8116723
1079043,179.8116723
1079058,179.8116723
1079063,179.8116723
1079064,261.8310315
1079072,514.1982908
1079088,198.7392167
1079094,179.8116723
1079095,179.8116723
1079101,179.8116723
1079102,179.8116723
1079103,305.2066542
1079112,239.9058361
1079113,239.9058361
1079114,239.9058361
1079115,239.9058361
1079116,239.9058361
1079138,141.9565834
1079141,324.1341987
1079210,324.1341987
1079214,359.6233445
1080815,217.6667612
1081994,359.6233445
1081995,359.6233445
1081996,359.6233445
1081997,359.6233445
1081998,359.6233445
1082000,359.6233445
1082001,359.6233445
1082002,359.6233445
1082003,359.6233445
1082004,359.6233445
1082005,359.6233445
1082006,324.1341987
1082007,324.1341987
1082008,324.1341987
1082009,324.1341987
1082010,324.1341987
1082011,324.1341987
1082012,324.1341987
1082013,324.1341987
1082014,324.1341987
1082015,324.1341987
1082016,324.1341987
1082017,324.1341987
1082018,514.1982908
1082019,514.1982908
1082020,514.1982908
1082021,514.1982908
1082022,514.1982908
1082487,324.1341987
1082634,217.6667612
1082813,217.6667612
1083346,217.6667612
1083347,217.6667612
1083348,217.6667612
1083349,217.6667612
1083350,217.6667612
1083353,217.6667612
1083354,217.6667612
1083355,217.6667612
1083356,217.6667612
1083373,253.155907
1083375,253.155907
1083376,253.155907
1083377,253.155907
1083378,253.155907
1083713,359.6233445
1084390,217.6667612
1084397,200
1084423,253.155907
1084594,200
1084937,217.6667612
1085492,359.6233445
1085502,179.8116723
1085600,200
1085601,200
1085778,217.6667612
1085789,217.6667612
1085792,200
1085797,359.6233445
1085798,359.6233445
1085799,359.6233445
1085800,359.6233445
1085801,359.6233445
1085816,217.6667612
1085931,217.6667612
1085938,217.6667612
1085946,200
1085948,514.1982908
1085949,359.6233445
1085950,217.6667612
1085953,200
1086052,200
1086053,200
1086063,200
1086078,200
1086256,217.6667612
1086561,217.6667612
1086562,217.6667612
1087080,217.6667612
1087146,217.6667612
1087238,217.6667612
1087243,217.6667612
1087244,217.6667612
1087245,217.6667612
1087300,200
1087301,200
1087430,514.1982908
1087449,217.6667612
1087484,217.6667612
1087485,217.6667612
1087524,253.155907
1087577,253.155907
1087618,514.1982908
1087700,217.6667612
1087755,217.6667612
1087756,217.6667612
1087760,200
1087832,217.6667612
1087842,217.6667612
1087867,217.6667612
1087916,217.6667612
1087945,246.0580778
1087954,217.6667612
1088311,200
1088312,200
1088313,200
1088314,200
1088315,200
1088318,217.6667612
1088319,200
1088320,359.6233445
1088442,217.6667612
1088469,179.8116723
1088478,217.6667612
1088484,253.155907
1088490,253.155907
1088620,217.6667612
1088675,200
1088750,217.6667612
1088798,179.8116723
1088802,200
1088803,200
1088913,200
1089224,200
1089252,200
1089308,179.8116723
1089384,200
1089607,200
1089623,200
1089745,200
