Shape,Area,Volume,centroid x,centroid y ,centroid z,BB_Height,BB_Width,BB_Depth,low_slice_length,mid_slice_length,upper_slice_length,eccentricity_x,eccentricity_y,eccentricity_z,second_m_of_i_xx,second_m_of_i_yy,second_m_of_i_zy,num_faces,num_edges,num_vertexs,vol_bbvol_ratio
Cylinder,1047.1871,1628.9426,0.0877,0.0884,23.3334,6.6666,6.6666,46.6667,20.9437,20.9437,20.9437,0.0,0.0,23.3334,4524.7499,4524.7499,295623.3313,3,3,2,1.2732
Cylinder,22689.2539,235968.1528,0.0877,0.0884,20.0,86.6666,86.6666,40.0,272.2712,272.2712,272.2712,0.0,0.0,20.0,1.1077e+8,1.1077e+8,3.1462e+7,3,3,2,1.2732
Cylinder,2513.2679,9308.3948,0.0877,0.0884,8.3333,26.6666,26.6666,16.6667,83.7756,83.7756,83.7756,0.0,0.0,8.3333,413704.3666,413704.3666,215472.9635,3,3,2,1.2732
Cylinder,5026.5546,7446.6823,0.0877,0.0884,1.6667,53.3334,53.3334,3.3333,167.5518,167.5518,167.5518,0.0,0.0,1.6667,1.3239e+6,1.3239e+6,6894.9383,3,3,2,1.2732
Cylinder,17592.919,150796.448,0.0877,0.0884,15.0,80.0,80.0,30.0,251.3274,251.3274,251.3274,0.0,0.0,15.0,6.0319e+7,6.0319e+7,1.131e+7,3,3,2,1.2732
Box,3377.7769,7111.0756,0.0877,0.0884,0.0,80.0,6.6666,13.3334,173.3332,173.3332,173.3332,0.0,0.0,6.6667,3.7926e+6,26336.7901,105350.321,6,12,8,1.0
Box,23111.0969,237036.8593,0.0877,0.0884,0.0,66.6666,53.3334,66.6666,240.0,240.0,240.0,0.0,0.0,33.3333,8.7791e+7,5.6187e+7,8.7791e+7,6,12,8,1.0
Box,10577.7689,72592.5304,0.0877,0.0884,0.0,46.6666,46.6666,33.3334,186.6664,186.6664,186.6664,0.0,0.0,16.6667,1.3174e+7,1.3174e+7,6.7216e+6,6,12,8,1.0
Box,9688.8631,26666.3733,0.0877,0.0884,0.0,6.6666,66.6666,60.0,146.6664,146.6664,146.6664,0.0,0.0,30.0,98762.3704,9.8764e+6,7.9999e+6,6,12,8,1.0
Box,19644.4409,100148.4948,0.0877,0.0884,0.0,13.3334,86.6666,86.6666,200.0,200.0,200.0,0.0,0.0,43.3333,1.4837e+6,6.2685e+7,6.2685e+7,6,12,8,1.0
Box,9777.7689,49777.6889,0.0877,0.0884,0.0,26.6666,20.0,93.3334,93.3332,93.3332,93.3332,0.0,0.0,46.6667,2.9498e+6,1.6593e+6,3.6135e+7,6,12,8,1.0
Box,19200.016,170666.88,0.0877,0.0884,0.0,53.3334,40.0,80.0,186.6668,186.6668,186.6668,0.0,0.0,40.0,4.0454e+7,2.2756e+7,91022336.0,6,12,8,1.0
Box,9422.2471,42666.9333,0.0877,0.0884,0.0,60.0,13.3334,53.3334,146.6668,146.6668,146.6668,0.0,0.0,26.6667,1.28e+7,632109.0371,1.0114e+7,6,12,8,1.0
Box,8266.672,37333.36,0.0877,0.0884,0.0,20.0,93.3334,20.0,226.6668,226.6668,226.6668,0.0,0.0,10.0,1.2444e+6,2.7101e+7,1.2444e+6,6,12,8,1.0
Box,17599.984,149333.12,0.0877,0.0884,0.0,40.0,80.0,46.6666,240.0,240.0,240.0,0.0,0.0,23.3333,1.9911e+7,7.9644e+7,2.7101e+7,6,12,8,1.0
Box,27288.8471,231110.3556,0.0877,0.0884,0.0,86.6666,100.0,26.6666,373.3332,373.3332,373.3332,0.0,0.0,13.3333,1.4466e+8,1.9259e+8,1.3695e+7,6,12,8,1.0
Box,15555.5911,111111.5556,0.0877,0.0884,0.0,33.3334,33.3334,100.0,133.3336,133.3336,133.3336,0.0,0.0,50.0,1.0288e+7,1.0288e+7,9.2593e+7,6,12,8,1.0
Box,11911.1049,78222.0978,0.0877,0.0884,0.0,73.3334,26.6666,40.0,200.0,200.0,200.0,0.0,0.0,20.0,3.5055e+7,4.6354e+6,1.043e+7,6,12,8,1.0
Box,13244.4329,37332.9867,0.0877,0.0884,0.0,93.3334,60.0,6.6666,306.6668,306.6668,306.6668,0.0,0.0,3.3333,2.7101e+7,1.12e+7,138267.5556,6,12,8,1.0
Box,40088.9351,537778.7556,0.0877,0.0884,0.0,100.0,73.3334,73.3334,346.6668,346.6668,346.6668,0.0,0.0,36.6667,4.4815e+8,2.41e+8,2.41e+8,6,12,8,1.0
